title,vote_average,vote_count,runtime,genres,year
Shanghai Triad,6.5,17.0,108.0,"['drama', 'crime']",1995
Dangerous Minds,6.4,249.0,99.0,"['drama', 'crime']",1995
Twelve Monkeys,7.4,2470.0,129.0,"['science fiction', 'thriller', 'mystery']",1995
Wings of Courage,6.8,4.0,50.0,"['romance', 'adventure']",1996
Babe,6.0,756.0,89.0,"['fantasy', 'drama', 'comedy', 'family']",1995
Carrington,6.4,16.0,121.0,"['history', 'drama', 'romance']",1995
Dead Man Walking,7.3,350.0,122.0,['drama'],1995
Across the Sea of Time,3.5,2.0,51.0,"['adventure', 'history', 'drama', 'family']",1995
It Takes Two,6.1,149.0,101.0,"['comedy', 'family', 'romance']",1995
Clueless,6.9,828.0,97.0,"['comedy', 'drama', 'romance']",1995
"Cry, the Beloved Country",6.7,13.0,106.0,['drama'],1995
Richard III,6.9,50.0,104.0,"['drama', 'war']",1995
Dead Presidents,6.6,80.0,119.0,"['action', 'crime', 'drama', 'history']",1995
Restoration,6.3,30.0,117.0,"['drama', 'romance']",1995
Mortal Kombat,5.4,452.0,101.0,"['action', 'fantasy']",1995
To Die For,6.7,177.0,106.0,"['fantasy', 'drama', 'comedy', 'thriller']",1995
How To Make An American Quilt,6.5,38.0,116.0,"['drama', 'romance']",1995
Se7en,8.1,5915.0,127.0,"['crime', 'mystery', 'thriller']",1995
Pocahontas,6.7,1509.0,81.0,"['adventure', 'animation', 'drama', 'family']",1995
When Night Is Falling,5.9,10.0,96.0,"['drama', 'romance']",1995
The Usual Suspects,8.1,3334.0,106.0,"['drama', 'crime', 'thriller']",1995
Guardian Angel,6.3,3.0,93.0,"['action', 'thriller', 'drama']",1994
Mighty Aphrodite,6.7,145.0,95.0,"['comedy', 'romance']",1995
Lamerica,7.7,11.0,116.0,"['drama', 'foreign']",1994
The Big Green,5.2,41.0,100.0,"['action', 'adventure', 'comedy', 'family']",1995
Georgia,6.1,15.0,115.0,['drama'],1995
Kids of the Round Table,3.0,1.0,89.0,[],1997
Home for the Holidays,6.3,39.0,103.0,"['comedy', 'drama', 'romance']",1995
The Postman,7.6,181.0,108.0,"['comedy', 'drama', 'romance']",1994
The Confessional,6.5,2.0,100.0,"['thriller', 'drama', 'mystery']",1995
The Indian in the Cupboard,5.9,136.0,96.0,"['adventure', 'family', 'fantasy']",1995
Eye for an Eye,5.8,65.0,101.0,"['drama', 'thriller']",1996
Mr. Holland's Opus,6.9,115.0,137.0,"['music', 'drama', 'family']",1995
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0,89.0,['comedy'],1996
Two If by Sea,4.5,14.0,96.0,"['comedy', 'romance']",1996
Bio-Dome,4.4,110.0,88.0,['comedy'],1996
Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,92.0,"['action', 'science fiction']",1996
Two Bits,5.4,11.0,85.0,"['drama', 'family']",1995
French Twist,6.0,43.0,95.0,"['comedy', 'romance']",1995
Friday,7.0,513.0,91.0,['comedy'],1995
From Dusk Till Dawn,6.9,1644.0,108.0,"['horror', 'action', 'thriller', 'crime']",1996
Fair Game,4.1,54.0,91.0,"['action', 'thriller', 'romance']",1995
Kicking and Screaming,7.0,36.0,96.0,"['comedy', 'drama', 'romance']",1995
Les Miserables,6.6,8.0,175.0,"['drama', 'history']",1995
Bed of Roses,5.1,27.0,87.0,"['drama', 'romance']",1996
Big Bully,3.9,16.0,90.0,"['comedy', 'family']",1996
Screamers,6.1,154.0,108.0,"['horror', 'science fiction']",1995
Nico Icon,7.3,3.0,70.0,['documentary'],1995
The Crossing Guard,6.1,74.0,111.0,"['drama', 'thriller']",1995
The Juror,5.5,91.0,118.0,"['drama', 'thriller']",1996
The White Balloon,7.5,20.0,85.0,"['family', 'drama']",1995
Things to Do in Denver When You're Dead,6.7,87.0,116.0,"['drama', 'crime']",1995
Antonia's Line,7.2,26.0,102.0,"['drama', 'comedy']",1995
Once Upon a Time... When We Were Colored,4.5,2.0,115.0,"['romance', 'drama']",1996
Last Summer in the Hamptons,0.0,0.0,108.0,[],1995
Angels and Insects,6.3,17.0,118.0,"['drama', 'romance']",1995
White Squall,6.3,86.0,129.0,"['action', 'drama']",1996
Dunston Checks In,5.1,59.0,88.0,"['adventure', 'comedy', 'family']",1996
Black Sheep,6.0,124.0,87.0,['comedy'],1996
Nick of Time,6.1,190.0,90.0,"['crime', 'drama', 'thriller']",1995
The Journey of August King,6.7,3.0,91.0,['drama'],1995
Mary Reilly,5.7,77.0,104.0,"['drama', 'horror', 'thriller', 'romance']",1996
Vampire in Brooklyn,4.5,113.0,100.0,"['comedy', 'horror', 'romance']",1995
Beautiful Girls,6.6,103.0,112.0,"['comedy', 'drama', 'romance']",1996
Broken Arrow,5.7,459.0,108.0,"['action', 'adventure', 'drama', 'thriller']",1996
A Midwinter's Tale,7.5,6.0,99.0,['comedy'],1995
La Haine,7.9,695.0,98.0,['drama'],1995
Shopping,5.6,13.0,105.0,"['action', 'adventure', 'drama', 'science fiction', 'thriller']",1994
Heidi Fleiss: Hollywood Madam,6.8,4.0,106.0,['documentary'],1995
City Hall,6.0,67.0,111.0,"['drama', 'thriller']",1996
Bottle Rocket,6.8,285.0,91.0,"['comedy', 'crime', 'drama']",1996
Mr. Wrong,3.3,16.0,96.0,"['comedy', 'romance']",1996
Unforgettable,5.3,22.0,106.0,"['drama', 'mystery', 'science fiction', 'thriller']",1996
Happy Gilmore,6.5,767.0,92.0,['comedy'],1996
The Bridges of Madison County,7.3,397.0,135.0,"['drama', 'romance']",1995
Nobody Loves Me,5.1,5.0,104.0,"['drama', 'comedy', 'family']",1994
Muppet Treasure Island,6.5,93.0,100.0,"['action', 'comedy', 'music', 'family', 'adventure']",1996
Catwalk,7.0,2.0,95.0,['documentary'],1995
Headless Body in Topless Bar,0.0,0.0,110.0,['crime'],1995
Braveheart,7.7,3404.0,177.0,"['action', 'drama', 'history', 'war']",1995
Taxi Driver,8.1,2632.0,114.0,"['crime', 'drama']",1976
Rumble in the Bronx,6.5,245.0,91.0,"['crime', 'action', 'comedy', 'thriller']",1995
Before and After,5.8,37.0,108.0,"['drama', 'thriller']",1996
Margaret's Museum,7.5,2.0,114.0,['drama'],1995
Happiness Is in the Field,7.0,23.0,106.0,['comedy'],1995
Anne Frank Remembered,7.3,4.0,117.0,"['documentary', 'drama', 'foreign']",1995
The Young Poisoner's Handbook,6.9,19.0,99.0,"['comedy', 'crime', 'drama']",1995
If Lucy Fell,5.4,11.0,92.0,"['comedy', 'romance']",1996
Steal Big Steal Little,5.1,7.0,113.0,"['comedy', 'drama']",1995
Race the Sun,5.2,21.0,100.0,"['action', 'adventure', 'comedy', 'drama', 'family']",1996
The Boys of St. Vincent,7.0,7.0,90.0,['drama'],1992
Boomerang,5.4,139.0,117.0,"['comedy', 'romance']",1992
Chungking Express,7.9,249.0,102.0,"['drama', 'comedy', 'romance']",1994
The Star Maker,6.8,29.0,113.0,"['drama', 'romance']",1995
Flirting with Disaster,6.3,66.0,92.0,"['comedy', 'romance']",1996
The Neverending Story III: Escape from Fantasia,4.4,105.0,95.0,['fantasy'],1994
The Silences of the Palace,4.3,3.0,116.0,['drama'],1994
Jupiter's Wife,0.0,0.0,87.0,[],1995
Pie in the Sky,7.0,2.0,95.0,"['comedy', 'romance']",1996
Angela,5.6,9.0,99.0,"['comedy', 'drama']",1995
Frankie Starlight,5.4,4.0,101.0,"['drama', 'romance', 'war']",1995
Jade,5.1,45.0,95.0,"['action', 'thriller', 'mystery', 'romance']",1995
Nueba Yol,5.5,1.0,102.0,"['comedy', 'drama', 'romance']",1995
Sonic Outlaws,0.0,0.0,87.0,"['music', 'documentary']",1995
Down Periscope,5.6,110.0,92.0,['comedy'],1996
From the Journals of Jean Seberg,6.5,2.0,97.0,['documentary'],1995
Man of the Year,3.8,2.0,86.0,['comedy'],1995
The Neon Bible,7.2,5.0,91.0,['drama'],1995
Target,0.0,0.0,122.0,[],1995
Up Close & Personal,5.9,51.0,119.0,"['drama', 'romance']",1996
The Birdcage,6.7,303.0,117.0,['comedy'],1996
Virgin Mary,7.0,2.0,125.0,['drama'],1995
The Brothers McMullen,6.3,23.0,98.0,"['comedy', 'drama', 'romance']",1995
Bad Boys,6.5,1729.0,118.0,"['action', 'comedy', 'crime', 'thriller']",1995
The Amazing Panda Adventure,5.0,31.0,81.0,"['action', 'adventure', 'drama', 'family']",1995
The Basketball Diaries,7.2,472.0,102.0,"['drama', 'crime']",1995
An Awfully Big Adventure,6.0,11.0,113.0,"['romance', 'drama', 'comedy']",1995
Amateur,6.5,21.0,105.0,"['crime', 'comedy', 'drama', 'thriller']",1994
Apollo 13,7.3,1637.0,140.0,['drama'],1995
Rob Roy,6.5,151.0,139.0,['adventure'],1995
The Addiction,6.4,46.0,82.0,"['drama', 'horror']",1995
Batman Forever,5.2,1529.0,121.0,"['action', 'crime', 'fantasy']",1995
Belle de Jour,7.3,163.0,101.0,"['drama', 'romance']",1967
Beyond Rangoon,6.4,21.0,100.0,"['drama', 'thriller']",1995
Blue in the Face,6.8,28.0,83.0,['comedy'],1995
Canadian Bacon,5.9,57.0,91.0,"['action', 'comedy']",1995
Casper,6.0,1045.0,100.0,"['fantasy', 'comedy', 'family']",1995
Clockers,6.8,69.0,128.0,"['mystery', 'crime', 'drama']",1995
Congo,5.0,214.0,109.0,"['action', 'adventure', 'drama', 'mystery', 'science fiction', 'thriller']",1995
Crimson Tide,7.0,508.0,116.0,"['action', 'thriller', 'drama']",1995
Crumb,7.6,71.0,119.0,['documentary'],1994
Desperado,6.8,898.0,104.0,"['thriller', 'action', 'crime']",1995
Devil in a Blue Dress,6.3,88.0,102.0,"['drama', 'mystery', 'thriller']",1995
Die Hard: With a Vengeance,6.9,2094.0,128.0,"['action', 'thriller']",1995
The Doom Generation,5.6,57.0,80.0,"['action', 'comedy', 'crime', 'drama']",1995
Feast of July,0.0,0.0,116.0,"['drama', 'crime']",1995
First Knight,5.9,319.0,134.0,"['action', 'adventure', 'drama', 'romance']",1995
Free Willy 2 - The Adventure Home,5.5,130.0,95.0,['adventure'],1995
Hackers,6.2,406.0,107.0,"['action', 'crime', 'thriller', 'drama']",1995
Jeffrey,6.5,19.0,92.0,"['comedy', 'drama', 'romance']",1995
Johnny Mnemonic,5.5,380.0,97.0,"['adventure', 'action', 'drama', 'science fiction', 'thriller']",1995
Judge Dredd,5.4,643.0,96.0,['science fiction'],1995
Jury Duty,4.0,34.0,88.0,"['comedy', 'drama']",1995
Kids,6.8,280.0,91.0,"['drama', 'crime']",1995
Living in Oblivion,7.2,64.0,89.0,"['drama', 'comedy']",1995
Lord of Illusions,5.9,87.0,119.0,"['mystery', 'horror', 'thriller']",1995
Love & Human Remains,7.0,7.0,100.0,"['comedy', 'drama']",1993
Mad Love,5.5,27.0,95.0,"['drama', 'family', 'romance']",1995
Mallrats,6.8,400.0,94.0,"['romance', 'comedy']",1995
Mighty Morphin Power Rangers: The Movie,5.2,153.0,92.0,"['action', 'adventure', 'science fiction', 'family', 'fantasy']",1995
Moonlight and Valentino,5.6,10.0,100.0,"['comedy', 'drama', 'romance']",1995
Mute Witness,6.4,36.0,95.0,"['thriller', 'foreign']",1995
Nadja,5.9,12.0,93.0,"['horror', 'thriller']",1994
The Net,5.6,359.0,114.0,"['crime', 'drama', 'mystery', 'thriller', 'action']",1995
Nine Months,5.5,171.0,103.0,['comedy'],1995
Party Girl,5.8,14.0,94.0,['comedy'],1995
The Prophecy,6.4,139.0,98.0,"['fantasy', 'horror', 'thriller']",1995
Reckless,10.0,1.0,91.0,"['fantasy', 'comedy', 'drama']",1995
Safe,7.2,62.0,119.0,['drama'],1995
The Scarlet Letter,5.5,111.0,135.0,"['drama', 'history', 'romance']",1995
The Show,5.3,2.0,93.0,['documentary'],1995
Showgirls,4.9,261.0,128.0,['drama'],1995
Smoke,7.2,115.0,112.0,"['comedy', 'drama']",1995
Something to Talk About,5.7,60.0,106.0,['comedy'],1995
Species,5.5,457.0,108.0,"['science fiction', 'horror', 'action']",1995
The Stars Fell on Henrietta,6.6,6.0,109.0,['drama'],1995
Strange Days,6.8,334.0,145.0,"['crime', 'drama', 'science fiction', 'thriller']",1995
The Umbrellas of Cherbourg,7.6,119.0,91.0,"['drama', 'romance']",1964
The Tie That Binds,4.6,9.0,99.0,['thriller'],1995
Three Wishes,6.1,18.0,115.0,"['drama', 'fantasy']",1995
Total Eclipse,6.5,112.0,111.0,"['drama', 'romance']",1995
"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117.0,105.0,['comedy'],1995
Under Siege 2: Dark Territory,5.6,217.0,100.0,"['action', 'thriller']",1995
Unstrung Heroes,6.4,9.0,93.0,"['comedy', 'drama', 'family']",1995
Unzipped,6.0,6.0,73.0,['documentary'],1995
A Walk in the Clouds,6.5,168.0,103.0,"['drama', 'romance']",1995
Waterworld,5.9,1017.0,135.0,"['adventure', 'action']",1995
White Man's Burden,5.1,25.0,89.0,['drama'],1995
Wild Bill,5.9,27.0,98.0,"['action', 'western']",1995
The Browning Version,6.0,11.0,97.0,['drama'],1994
Bushwhacked,4.9,29.0,90.0,"['adventure', 'action', 'comedy', 'crime', 'family']",1995
Burnt by the Sun,6.7,35.0,135.0,['drama'],1994
Before the Rain,7.7,45.0,113.0,"['drama', 'war']",1994
Before Sunrise,7.7,984.0,105.0,"['drama', 'romance']",1995
Billy Madison,6.2,464.0,89.0,['comedy'],1995
The Babysitter,4.7,27.0,90.0,"['drama', 'thriller']",1995
Boys on the Side,6.3,48.0,115.0,"['comedy', 'drama']",1995
The Cure,7.2,58.0,97.0,"['drama', 'family']",1995
Castle Freak,5.8,40.0,95.0,"['thriller', 'drama', 'horror', 'mystery']",1995
Circle of Friends,6.5,30.0,103.0,"['drama', 'family', 'romance']",1995
Clerks,7.4,769.0,92.0,['comedy'],1994
Don Juan DeMarco,6.3,184.0,97.0,"['romance', 'drama', 'comedy']",1994
Disclosure,5.9,217.0,123.0,"['drama', 'thriller', 'crime', 'mystery', 'romance']",1994
Dream Man,2.5,1.0,0.0,['thriller'],1995
Drop Zone,5.1,91.0,101.0,"['action', 'adventure', 'thriller']",1994
Destiny Turns on the Radio,5.3,9.0,0.0,"['crime', 'comedy', 'fantasy']",1995
Death and the Maiden,7.1,92.0,103.0,"['drama', 'thriller', 'mystery']",1994
Dolores Claiborne,7.1,183.0,132.0,"['crime', 'drama', 'mystery']",1995
Dumb and Dumber,6.5,1894.0,107.0,['comedy'],1994
Eat Drink Man Woman,7.5,76.0,123.0,"['comedy', 'drama', 'romance']",1994
Exotica,6.5,64.0,103.0,"['drama', 'mystery']",1994
Exit to Eden,4.3,28.0,113.0,"['thriller', 'comedy', 'crime', 'romance']",1994
Ed Wood,7.3,639.0,127.0,"['comedy', 'drama', 'history']",1994
French Kiss,6.2,179.0,111.0,"['comedy', 'romance']",1995
Forget Paris,6.1,38.0,101.0,"['comedy', 'drama', 'romance']",1995
Far from Home: The Adventures of Yellow Dog,5.6,27.0,87.0,"['action', 'adventure', 'drama', 'family']",1995
A Goofy Movie,6.7,404.0,78.0,"['romance', 'animation', 'family', 'comedy', 'adventure']",1995
Hideaway,5.0,24.0,103.0,"['drama', 'thriller']",1995
Fluke,6.6,48.0,96.0,"['drama', 'family', 'fantasy']",1995
Farinelli,5.9,20.0,111.0,"['history', 'drama']",1994
Gordy,3.0,4.0,90.0,"['drama', 'family', 'fantasy']",1995
Gumby: The Movie,5.0,2.0,77.0,"['fantasy', 'animation', 'science fiction', 'family']",1995
The Glass Shield,5.4,9.0,109.0,"['drama', 'action', 'thriller', 'crime']",1994
Hoop Dreams,7.7,91.0,171.0,['documentary'],1994
Heavenly Creatures,6.9,299.0,99.0,"['drama', 'fantasy']",1994
Houseguest,6.0,17.0,113.0,"['comedy', 'family']",1995
Immortal Beloved,6.9,90.0,121.0,"['drama', 'music', 'romance']",1994
Heavyweights,6.0,97.0,100.0,"['comedy', 'family', 'drama']",1995
The Hunted,6.0,25.0,106.0,"['action', 'thriller']",1995
I.Q.,5.9,112.0,100.0,"['comedy', 'drama', 'romance']",1994
Interview with the Vampire,7.2,1558.0,123.0,"['horror', 'romance']",1994
Jefferson in Paris,5.2,10.0,139.0,"['drama', 'romance']",1995
The Jerky Boys,4.8,10.0,82.0,"['comedy', 'crime']",1995
Junior,4.7,381.0,109.0,"['comedy', 'family', 'romance']",1994
Just Cause,6.0,124.0,102.0,"['action', 'drama', 'mystery', 'thriller']",1995
A Kid in King Arthur's Court,4.3,40.0,89.0,"['adventure', 'fantasy', 'comedy', 'science fiction', 'family']",1995
Kiss of Death,5.7,83.0,101.0,"['action', 'crime', 'drama', 'thriller']",1995
Star Wars,8.1,6778.0,121.0,"['adventure', 'action', 'science fiction']",1977
Little Women,7.0,222.0,115.0,"['drama', 'romance']",1994
A Little Princess,7.4,207.0,97.0,"['drama', 'family', 'fantasy']",1995
Ladybird Ladybird,7.4,14.0,101.0,['drama'],1994
L'Enfer,6.6,22.0,100.0,"['crime', 'drama']",1994
Like Water for Chocolate,6.6,70.0,105.0,"['drama', 'romance']",1992
Legends of the Fall,7.2,636.0,133.0,"['adventure', 'drama', 'romance', 'war']",1994
Major Payne,6.1,164.0,95.0,"['adventure', 'comedy', 'family']",1995
Little Odessa,6.4,31.0,98.0,"['action', 'drama']",1994
Mi Vida Loca,5.7,9.0,92.0,"['crime', 'drama']",1994
Love Affair,4.3,11.0,108.0,"['drama', 'romance']",1994
Losing Isaiah,6.4,28.0,106.0,['drama'],1995
The Madness of King George,6.7,67.0,107.0,"['comedy', 'drama', 'history']",1994
Mary Shelley's Frankenstein,6.1,272.0,123.0,"['drama', 'horror', 'science fiction', 'romance']",1994
Man of the House,5.1,40.0,96.0,"['action', 'comedy', 'family']",1995
Mixed Nuts,5.2,37.0,97.0,"['comedy', 'drama', 'romance']",1994
Milk Money,5.6,49.0,108.0,"['comedy', 'romance']",1994
Miracle on 34th Street,6.4,199.0,114.0,"['fantasy', 'drama', 'family']",1994
Miami Rhapsody,5.6,7.0,95.0,"['comedy', 'romance']",1995
My Family,7.0,11.0,128.0,"['comedy', 'drama']",1995
Murder in the First,6.9,140.0,122.0,"['crime', 'drama']",1995
Nobody's Fool,7.0,56.0,110.0,"['drama', 'comedy']",1994
Nell,6.1,128.0,112.0,"['drama', 'thriller']",1994
New Jersey Drive,6.9,7.0,98.0,"['crime', 'drama']",1995
New York Cop,0.0,0.0,93.0,"['action', 'thriller', 'crime', 'drama']",1993
Beyond Bedlam,4.0,4.0,89.0,['horror'],1994
Nemesis 2 - Nebula,4.6,10.0,83.0,"['science fiction', 'action', 'thriller']",1995
Nina Takes a Lover,7.4,4.0,100.0,"['drama', 'romance']",1995
Natural Born Killers,6.9,927.0,119.0,"['crime', 'thriller', 'drama']",1994
Only You,6.4,92.0,115.0,"['comedy', 'drama', 'romance']",1994
Once Were Warriors,7.6,106.0,99.0,['drama'],1994
Poison Ivy II: Lily,4.6,32.0,106.0,"['drama', 'romance', 'thriller']",1996
Outbreak,6.4,522.0,127.0,"['action', 'drama', 'science fiction', 'thriller']",1995
Leon: The Professional,8.2,4293.0,110.0,"['thriller', 'crime', 'drama']",1994
The Perez Family,6.6,9.0,113.0,"['comedy', 'drama', 'romance']",1995
A Pyromaniac's Love Story,7.0,2.0,94.0,"['comedy', 'drama', 'romance']",1995
Pulp Fiction,8.3,8670.0,154.0,"['thriller', 'crime']",1994
Panther,6.4,6.0,124.0,['drama'],1995
Pushing Hands,6.1,9.0,105.0,"['comedy', 'drama']",1992
Priest,6.4,32.0,98.0,"['drama', 'romance']",1994
Quiz Show,7.1,262.0,133.0,"['history', 'drama']",1994
Picture Bride,7.4,5.0,94.0,"['drama', 'history']",1995
Queen Margot,7.0,67.0,162.0,"['drama', 'history']",1994
The Quick and the Dead,6.2,431.0,107.0,"['action', 'western']",1995
Roommates,6.4,7.0,108.0,"['drama', 'comedy']",1995
Prêt-à-Porter,5.3,33.0,133.0,"['drama', 'comedy']",1994
Three Colors: Red,7.8,246.0,99.0,"['drama', 'mystery', 'romance']",1994
Three Colors: Blue,7.7,311.0,98.0,"['drama', 'music', 'mystery']",1993
Three Colors: White,7.3,218.0,91.0,"['comedy', 'drama', 'mystery']",1994
"Red Firecracker, Green Firecracker",7.0,2.0,111.0,['drama'],1994
Rent-a-Kid,5.1,15.0,85.0,"['comedy', 'family', 'tv movie']",1995
Relative Fear,4.7,3.0,90.0,"['horror', 'drama']",1995
Stuart Saves His Family,5.0,6.0,95.0,"['comedy', 'drama']",1995
The Swan Princess,6.5,251.0,89.0,['animation'],1994
The Secret of Roan Inish,6.1,15.0,97.0,"['drama', 'family', 'fantasy']",1994
The Specialist,5.5,317.0,110.0,"['action', 'thriller']",1994
Stargate,6.8,942.0,121.0,"['action', 'adventure', 'science fiction']",1994
The Santa Clause,6.3,501.0,97.0,"['fantasy', 'drama', 'comedy', 'family']",1994
The Shawshank Redemption,8.5,8358.0,142.0,"['drama', 'crime']",1994
Shallow Grave,7.0,247.0,92.0,"['crime', 'thriller']",1994
Suture,6.0,7.0,96.0,"['drama', 'thriller']",1993
Strawberry and Chocolate,7.1,16.0,108.0,"['comedy', 'drama']",1993
Swimming with Sharks,6.7,104.0,101.0,"['crime', 'comedy']",1994
The Sum of Us,6.0,21.0,100.0,"['comedy', 'drama', 'romance']",1994
Senior Trip,5.7,23.0,91.0,['comedy'],1995
To Live,7.7,62.0,125.0,"['drama', 'romance', 'war']",1994
Tank Girl,5.5,140.0,98.0,"['action', 'comedy', 'fantasy', 'science fiction']",1995
Tales from the Crypt: Demon Knight,6.7,96.0,92.0,"['horror', 'comedy', 'thriller']",1995
Star Trek: Generations,6.4,461.0,118.0,"['science fiction', 'action', 'adventure', 'thriller']",1994
Tales from the Hood,5.4,33.0,98.0,"['crime', 'horror', 'thriller']",1995
Tom & Viv,5.8,8.0,115.0,"['drama', 'romance']",1994
Village of the Damned,5.6,165.0,99.0,"['thriller', 'horror', 'science fiction']",1995
Tommy Boy,6.8,321.0,97.0,['comedy'],1995
Vanya on 42nd Street,6.1,15.0,119.0,"['drama', 'romance']",1994
The Underneath,5.6,15.0,99.0,"['thriller', 'crime']",1995
The Walking Dead,6.6,4.0,88.0,"['drama', 'war']",1995
What's Eating Gilbert Grape,7.5,943.0,118.0,"['romance', 'drama']",1993
Virtuosity,5.4,163.0,106.0,"['action', 'crime', 'science fiction', 'thriller']",1995
While You Were Sleeping,6.5,340.0,103.0,"['comedy', 'drama', 'romance']",1995
The War,6.3,39.0,126.0,['drama'],1994
Double Happiness,5.5,2.0,87.0,"['comedy', 'romance']",1994
Muriel's Wedding,6.9,104.0,106.0,"['drama', 'comedy', 'romance']",1994
The Baby-Sitters Club,5.3,23.0,94.0,"['comedy', 'drama', 'family']",1995
Ace Ventura: Pet Detective,6.4,1684.0,86.0,"['comedy', 'mystery']",1994
"The Adventures of Priscilla, Queen of the Desert",7.2,174.0,104.0,"['drama', 'comedy']",1994
Backbeat,6.2,37.0,100.0,"['drama', 'music']",1994
Bitter Moon,7.0,115.0,139.0,"['thriller', 'drama', 'romance']",1992
Bullets Over Broadway,7.0,130.0,98.0,"['action', 'comedy', 'thriller']",1994
Clear and Present Danger,6.4,390.0,141.0,"['action', 'drama', 'thriller']",1994
The Client,6.4,287.0,119.0,"['drama', 'thriller', 'crime', 'mystery']",1994
"Corrina, Corrina",6.4,83.0,115.0,"['comedy', 'drama', 'family', 'romance']",1994
Crooklyn,6.7,31.0,115.0,"['comedy', 'drama']",1994
The Crow,7.3,980.0,102.0,"['fantasy', 'action', 'thriller']",1994
Cobb,6.1,29.0,128.0,['drama'],1994
The Flintstones,5.0,559.0,91.0,"['fantasy', 'comedy', 'family']",1994
Forrest Gump,8.2,8147.0,142.0,"['comedy', 'drama', 'romance']",1994
Four Weddings and a Funeral,6.6,654.0,117.0,"['comedy', 'drama', 'romance']",1994
Higher Learning,6.4,49.0,127.0,"['romance', 'drama', 'crime']",1995
I Like It Like That,6.3,4.0,104.0,"['comedy', 'drama', 'romance']",1994
I Love Trouble,5.3,41.0,123.0,"['action', 'comedy', 'romance']",1994
It Could Happen to You,6.1,154.0,101.0,"['comedy', 'drama', 'romance']",1994
The Jungle Book,5.9,107.0,111.0,"['adventure', 'drama', 'family']",1994
"The Wonderful, Horrible Life of Leni Riefenstahl",7.3,5.0,180.0,"['documentary', 'foreign']",1993
The Lion King,8.0,5520.0,89.0,"['family', 'animation', 'drama']",1994
Little Buddha,6.0,76.0,140.0,"['drama', 'history']",1993
New Nightmare,6.4,297.0,112.0,"['horror', 'thriller', 'mystery', 'fantasy']",1994
The Mask,6.6,2550.0,101.0,"['romance', 'comedy', 'crime', 'fantasy']",1994
Maverick,6.6,490.0,127.0,"['action', 'adventure', 'comedy', 'drama', 'western']",1994
Mrs. Parker and the Vicious Circle,6.3,20.0,125.0,['drama'],1994
The Naked Gun 33⅓: The Final Insult,6.4,535.0,83.0,"['comedy', 'crime']",1994
The Paper,6.1,40.0,112.0,"['comedy', 'drama']",1994
Reality Bites,6.5,180.0,99.0,['drama'],1994
Red Rock West,6.4,71.0,98.0,"['crime', 'drama', 'thriller']",1993
Ri¢hie Ri¢h,5.4,426.0,95.0,"['comedy', 'family']",1994
Safe Passage,4.9,7.0,98.0,['drama'],1994
The River Wild,6.1,214.0,111.0,"['action', 'adventure', 'crime', 'thriller']",1994
Speed,6.8,1814.0,116.0,"['action', 'adventure', 'crime']",1994
Speechless,5.5,24.0,99.0,"['comedy', 'romance']",1994
